n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
140,-2.37404584884643560,-0.68702292442321776,-0.66412216424942016,9.85453403320312480,0.08978256225585938,-0.42975919799804688
141,-2.36641216278076160,-0.67938929796218872,-0.63358777761459352,9.85932243652343680,0.09457096557617186,-0.44173020629882808
142,-2.37404584884643560,-0.69465649127960208,-0.65648853778839112,9.85932243652343680,0.08858546142578126,-0.42975919799804688
143,-2.33587789535522480,-0.67175573110580448,-0.65648853778839112,9.85932243652343680,0.09576806640625000,-0.43933600463867184
144,-2.35877871513366680,-0.68702292442321776,-0.65648853778839112,9.86411083984375040,0.09457096557617186,-0.43454760131835936
145,-2.34351134300231920,-0.66412216424942016,-0.65648853778839112,9.84974562988281120,0.09097966308593750,-0.43454760131835936
146,-2.36641216278076160,-0.65648853778839112,-0.68702292442321776,9.86411083984375040,0.08259995727539062,-0.43694180297851560
147,-2.37404584884643560,-0.67175573110580448,-0.65648853778839112,9.85453403320312480,0.09097966308593750,-0.42975919799804688
148,-2.39694666862487800,-0.67175573110580448,-0.67938929796218872,9.85932243652343680,0.08619125976562500,-0.43574470214843744
149,-2.39694666862487800,-0.66412216424942016,-0.69465649127960208,9.86411083984375040,0.08619125976562500,-0.43694180297851560
150,-2.37404584884643560,-0.65648853778839112,-0.65648853778839112,9.85932243652343680,0.09217676391601562,-0.43933600463867184
151,-2.37404584884643560,-0.68702292442321776,-0.68702292442321776,9.85932243652343680,0.08978256225585938,-0.43215339965820312
152,-2.48091602325439440,-0.65648853778839112,-5.06106853485107440,9.85932243652343680,0.15921441040039062,-0.43454760131835936
153,-2.73282432556152360,-0.63358777761459352,-15.00000000000000000,9.85932243652343680,0.24181436767578124,-0.43813890380859368
154,-2.99236631393432600,-0.63358777761459352,-25.18320655822754000,9.85932243652343680,0.39983167724609376,-0.43694180297851560
155,-3.27480912208557120,-0.65648853778839112,-35.77099227905273600,9.85453403320312480,0.65241995239257808,-0.43454760131835936
156,-3.35877871513366680,-0.65648853778839112,-40.08396911621093600,9.83538041992187360,0.90620532836914064,-0.43694180297851560
157,-3.38167929649353040,-0.67938929796218872,-40.59542083740234400,9.78510218505859200,1.27730658569335920,-0.42975919799804688
158,-3.36641216278076160,-0.67175573110580448,-40.87022781372070400,9.74320365600585920,1.61848032226562500,-0.43215339965820312
159,-3.34351134300231920,-0.63358777761459352,-40.58015441894531200,9.67377180786132800,1.97042796630859360,-0.42856209716796872
160,-3.38167929649353040,-0.64885497093200680,-40.73282623291016000,9.59835445556640640,2.31878430786132800,-0.43095629882812496
161,-3.37404584884643560,-0.65648853778839112,-40.49618148803711200,9.50378348999023360,2.65876094360351520,-0.42137949218750000
162,-3.38167929649353040,-0.65648853778839112,-40.75572586059570400,9.40202991943359360,3.01310278930664040,-0.41778818969726560
163,-3.35877871513366680,-0.67175573110580448,-40.48854827880859200,9.28950244140624960,3.34230551757812480,-0.42616789550781248
164,-3.34351134300231920,-0.65648853778839112,-40.62595367431640800,9.15662424926757760,3.67869085083007760,-0.41299978637695312
165,-3.36641216278076160,-0.65648853778839112,-40.67938995361328000,9.02494315795898240,4.00909067993164000,-0.41659108886718752
166,-3.37404584884643560,-0.64885497093200680,-40.45801544189452800,8.86692584838867200,4.32512529907226560,-0.40462008056640624
167,-3.38167929649353040,-0.64885497093200680,-40.63358688354492000,8.70771143798828000,4.64594832153320240,-0.40342297973632816
168,-3.36641216278076160,-0.65648853778839112,-40.51145172119140800,8.53173761596679680,4.94761773071289040,-0.39384617309570304
